dish_id,actual_ingredients,predicted_ingredients,actual_cal,pred_cal,cal_error,actual_fat,pred_fat,fat_error,actual_carb,pred_carb,carb_error,actual_prot,pred_prot,prot_error
dish_1561662216,soy sauce; garlic; white rice; parsley; onions; brown rice; vinegar; apple; mixed greens; sugar; salt; lemon juice; olive oil; pork; bok choy; pepper; millet,olive oil; salt; garlic; vinegar; onions,301,451,151,12.4,24.9,12.5,28.2,23.8,4.5,18.6,36.1,17.5
dish_1562008979,jalapenos; lemon juice; pork; wheat berry; cabbage; pepper; salt; carrot; garlic; caesar salad; olive oil; parsley; mayonnaise,salt; olive oil; garlic; lemon juice; pepper,383,442,59,22.2,24.6,2.4,10.2,21.8,11.7,35.3,36,0.6
dish_1561739238,egg whites; hash browns; berries; sweet potato,olive oil; sweet potato; egg whites,274,293,19,9.8,14.7,4.9,37.6,22.3,15.3,9.5,20.7,11.2
dish_1562691032,berries; olive oil; pineapple; scrambled eggs; roasted potatoes; broccoli,olive oil; salt,420,386,34,22,20.5,1.5,39.1,23.6,15.5,17.9,30,12
dish_1558549773,spinach (raw),,2,23,20,0,0.9,0.8,0.4,3.5,3.1,0.3,0.7,0.4
dish_1566920365,salsa; sweet potato; olive oil; egg whites,egg whites; sweet potato; olive oil; scrambled eggs,490,574,84,5.3,31.4,26.1,41.4,29.7,11.7,60.7,47.1,13.6
dish_1563984242,sweet potato; egg whites; pineapple; olive oil; cantaloupe,egg whites; sweet potato; watermelon; scrambled eggs,402,369,33,3.3,19.3,15.9,36.8,23.3,13.6,49.4,28.7,20.7
dish_1563998323,roasted potatoes; shallots; olive oil; tatsoi; butter; jalapenos; wheat berry; mushroom; steak; oregano; chicken; pepper; salt; garlic; white wine; cilantro; vinegar; thyme; lemon juice; rosemary; arugula; basil; brown rice; cream; parsley; cauliflower,olive oil; salt; garlic; lemon juice; shallots,635,539,95,32.5,29.6,2.8,35.3,28,7.3,53,43.8,9.2
dish_1563996485,salt; pepper; blueberries; chard; arugula; vinegar; mustard; olive oil; walnuts; roasted potatoes; cauliflower,olive oil; salt; garlic; vinegar; arugula,178,212,34,11.6,10.8,0.8,16.6,16,0.5,4.2,14.5,10.3
dish_1559239151,spinach (raw),salt; olive oil; vinegar; mustard,9,61,52,0.2,2.6,2.5,1.4,8,6.5,1.2,2.3,1.1
dish_1563998210,garlic; olive oil; thyme; lemon juice; butter; cream; oregano; chicken; pepper; white wine; shallots; arugula; rosemary; mushroom; basil; wheat berry; salt,olive oil; salt,148,130,18,5,6.3,1.3,2.2,12.9,10.7,22.6,7.1,15.5
dish_1558376306,sausage,sausage,372,369,3,29.5,19.8,9.7,4.5,25.9,21.4,20.8,25.7,4.9
dish_1558114086,deprecated,,74,66,8,0.3,1.8,1.6,0.4,12.5,12,20,1.3,18.7
dish_1558720236,apple; carrot; cauliflower; almonds,almonds,888,617,271,66.4,32,34.5,60.5,44.2,16.2,31.9,44.3,12.4
dish_1562618000,vinegar; olive oil; garlic; mustard greens; pepper; salt; radishes; lemon juice; thyme; brown rice; parsley; basil; arugula; chicken thighs; chickpeas; broccoli,salt; olive oil; garlic; vinegar; onions,686,372,314,36.1,20.6,15.5,30.8,19.5,11.3,59.2,29.6,29.5
dish_1562617703,frozen yogurt,,180,122,58,6.5,5.6,0.9,27,14.8,12.2,4.5,5,0.5
dish_1566502505,sun dried tomatoes; bok choy; pork; corn on the cob; cucumbers; onions; salt; soy sauce; garlic; sugar; pepper; white rice; vinegar; spinach (raw); mustard; olive oil,salt; olive oil; garlic; lemon juice; onions,455,431,23,22.5,23.3,0.9,33.1,24.9,8.3,31.9,33.7,1.8
dish_1566849923,olives; cherry tomatoes; carrot,cherry tomatoes,128,82,46,7.5,3.8,3.7,16.2,8.7,7.5,2.1,4.1,2
dish_1566502537,corn on the cob; vinegar; parsley; sun dried tomatoes; rosemary; carrot; salt; garlic; mustard; cucumbers; lemon juice; olive oil; chive; pork; chicken; spinach (raw); pepper; bok choy; white rice; brown rice; soy sauce; chard; sugar; onions; basil,salt; olive oil; garlic; lemon juice; onions,518,396,121,24.3,21.2,3.1,34.3,23.8,10.5,41.8,30.6,11.2
dish_1566838407,pineapple; scrambled eggs; sweet potato; berries; olive oil; watermelon,sweet potato; berries; watermelon; egg whites,359,375,16,9.8,18.2,8.3,62.4,31,31.4,9.7,25.8,16
dish_1562099053,cheese pizza,olive oil; salt,98,114,16,3.5,5.2,1.7,12.4,13.3,0.9,4.1,5.1,0.9
dish_1558546663,spinach (raw); almonds; apple,almonds,331,311,20,22.1,14.7,7.4,30.3,31.2,0.9,10.6,17.6,7
dish_1568305257,turkey bacon; salt; bell peppers; mustard; olive oil; cucumbers; vinegar; scrambled eggs; garlic; radishes,olive oil; salt; garlic,837,512,325,65.5,28.7,36.8,9.3,25.1,15.8,52.1,42,10.1
dish_1564689108,chickpeas; salt; garlic; blueberries; pepper; pears; arugula; mustard; olive oil; parsley; almonds; vinegar; spinach (raw); lemon juice; carrot,salt; olive oil; vinegar; garlic; mustard,204,199,5,15.9,9.9,5.9,13.2,18.4,5.3,4.9,11.1,6.2
dish_1565898158,cilantro; ginger; spinach (raw); jalapenos; lemon juice; lime; salt; onions; shallots; garlic; salmon; green beans; brown rice; olive oil; chili,olive oil; salt; garlic; pepper,240,281,41,10.3,14.8,4.5,10.2,19.9,9.6,25.3,19.7,5.6
dish_1558719994,almonds,almonds,769,650,119,65.8,35.7,30.1,30.2,38.7,8.5,29.8,49.6,19.8
